# Magnto-optical constants for Co L edge: delta delta
# energy (eV)   delta_delta * 1e-3
799.9939208639526  0.0821749396433471
800.1266605875306  0.07901039726422976
800.2594003111087  0.07378177499098548
800.3921400346869  0.06855315271774143
800.524879758265  0.06642065028568767
800.6576194818431  0.06325610790657032
800.7903592054212  0.06163962544804824
800.9230989289994  0.055894983201272286
801.0558386525774  0.0542785007427502
801.1885783761555  0.05162997833716454
801.3213180997336  0.049497475905111
801.4540578233117  0.04633293352599366
801.5867975468899  0.04316839114687632
801.719537270468  0.03793976887363226
801.8522769940461  0.03683930638864186
801.9850167176241  0.034190783983056194
802.1177564412022  0.03257430152453411
802.2504961647804  0.03044179909248057
802.3832358883585  0.029341336607490165
802.5159756119366  0.02411271433424589
802.6487153355147  0.02404429179631906
802.7814550590929  0.0213957693907334
802.914194782671  0.020811326879274894
803.046934506249  0.017646784500157775
803.1796742298271  0.01757836196223095
803.3124139534052  0.016477899477240543
803.4451536769834  0.011249277203996266
803.5778934005615  0.01118085466606944
803.7106331241396  0.009564372207547356
803.8433728477177  0.00485176990783498
803.9761125712957  0.004783347369908153
804.1088522948739  0.004714924831981326
804.241592018452  0.003614462346990921
804.3743317420301  0.0014819599149371587
804.5070714656082  0.00141353737701011
804.6398111891863  0.0013451148390832834
804.7504276255014  0.0012880960574777056
